COD_FORNECEDOR,COD_PROD,CLIENTE,DOCUMENTO,NOME_PROD,NOME_CATEGORIA,NOME_FORNECEDOR,VALOR_ORIGINAL,DATA_COMPRA,VALOR_DESCONTO,VALOR_FINAL,DATA_PGTO,DATA_DEVOLUCAO,STATUS_SITUACAO,STATUS_PGTO,TAXA_APLICADA,TAXA_ORIGINAL
345672,323,MARIA JOAO SILVA,99988877766,EMPRESTIMO PESSOAL DIG 122,CON,CEF,100.00,2021/01/01,0.00,100.00,2021/05/01,0000/00/00,PAGA,EFETIVADO,0.12,0.12
776223,323,JOAO SILVA MARIA,88877766655,EMPRESTIMO PESSOAL DIG 122,CON,BMG,1203.67,2021/01/02,0.01,1203.67,2021/05/02,0000/00/00,PAGA,EFETIVADO,0.12,0.12
345672,999,SILVA MARIA JOAO,77766655544,EMPRESTIMO EMPRESA 99,EMP,CEF,988.00,2021/01/03,0.02,988.00,2021/05/03,2021/06/01,ESTORNO,REMOVIDO,0.12,0.12
776223,999,JOAO SILVA MARIA,88877766655,EMPRESTIMO EMPRESA 99,EMP,BMG,21008.99,2021/01/04,0.03,21008.99,2021/05/04,0000/00/02,PAGA,EFETIVADO,0.12,0.12
776223,999,SILVA MARIA JOAO,77766655544,EMPRESTIMO EMPRESA 99,EMP,BMG,100.04,2021/01/05,0.04,100.04,2021/05/05,0000/00/03,PAGA,EFETIVADO,0.12,0.12
345672,323,MARIA JOAO SILVA,99988877766,EMPRESTIMO PESSOAL DIG 122,CON,CEF,55,2021/01/06,0.05,55,2021/05/06,0000/00/04,PAGA,EFETIVADO,0.12,0.12
345672,323,JOAO SILVA MARIA,88877766655,EMPRESTIMO PESSOAL DIG 122,CON,CEF,12,2021/01/07,0.06,12,2021/05/07,2021/06/01,ESTORNO,REMOVIDO,0.18,0.12
667655,999,SILVA MARIA JOAO,77766655544,EMPRESTIMO EMPRESA 99,EMP,ITAU,"12,88",2021/01/08,0.07,"12,88",2021/05/08,2021/06/01,CANCELADA,REMOVIDO,0.19,0.12
345672,999,MARIA JOAO SILVA,99988877766,EMPRESTIMO EMPRESA 99,EMP,CEF,"1223,99",2021/01/09,0.08,"1223,99",2021/05/09,2021/06/01,CANCELADA,REMOVIDO,0.12,0.12
776223,999,JOAO SILVA MARIA,88877766655,EMPRESTIMO EMPRESA 99,EMP,BMG,221.00,2021/01/10,0.09,221.00,2021/05/10,0000/00/08,PAGA,EFETIVADO,0.12,0.12
